Year,1997,2000,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cycles with auxiliary motors,20184,19161,23007,23471,24029,24532,25107,25569,26339,27109,27998,8527,9385,9690,9768
Gasoline,20181,19157,22996,23456,24012,24509,25072,25520,26265,26995,27850,8365,9198,9516,9564
Diesel,0,1,1,1,1,1,3,1,1,1,1,0,0,0,0
Electr.,3,3,10,14,16,22,32,48,73,113,144,160,186,173,203
Others,0,0,0,0,0,0,0,0,0,0,3,2,1,1,1
Motorcycles,8716,10810,13890,14269,14607,14946,15177,15551,15753,16225,16528,17226,17890,18569,19485
Gasoline,8711,10808,13885,14264,14603,14943,15172,15545,15743,16215,16515,17211,17869,18542,19452
Diesel,3,0,5,5,4,3,4,4,4,2,3,3,4,4,4
Electr.,0,1,0,0,0,0,1,2,6,8,9,11,16,23,29
Gasoline + CNG,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Others,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
Cars,199820,208949,211803,210861,208150,204895,200038,191197,184633,207642,207902,205132,203926,202766,201732
Gasoline,166877,166624,139367,130530,121256,113651,107375,99043,93193,98476,97264,96257,96210,97020,99406
Diesel,32772,42160,72293,80166,86683,90937,92233,91647,90801,108225,109420,107389,105746,103679,100091
Electr.,3,3,0,0,0,0,0,0,1,21,60,187,400,447,533
Gasoline + Gas,166,162,123,106,99,95,112,110,106,107,127,142,152,163,152
CNG,2,0,2,3,10,31,36,34,32,46,47,7,22,30,31
Hybrid - Gasoline/Electr.,0,0,18,56,102,181,282,357,486,713,879,980,1162,1178,1156
Gasoline / ethanol,0,0,0,0,0,0,0,6,14,54,0,0,0,51,0
Others,0,0,0,0,0,0,0,0,0,0,105,170,234,198,363
Cars for mixed use,30415,48679,84027,93630,104392,114963,127697,139280,151812,137309,147456,157747,168612,178094,189004
Gasoline,18341,25106,25338,24557,23785,23171,23972,25792,27718,21839,23320,25653,28609,31439,36073
Diesel,12010,23469,58597,68956,80397,91493,103324,113023,123530,114893,123174,130960,138592,144935,150814
Electr.,0,0,0,0,0,0,1,2,2,15,49,76,124,133,152
Gasoline + Gas,62,102,82,77,94,106,128,136,137,136,151,147,156,163,141
CNG,2,2,8,11,16,18,22,28,34,19,21,22,30,32,34
CNG (compressed natural gas),0,0,0,0,8,33,48,62,75,83,80,80,83,82,76
Hybrid - Gasoline/Electr.,0,0,0,27,90,141,200,235,313,318,588,677,845,1088,1324
Unknown,0,0,2,2,2,1,2,2,3,6,0,0,0,0,0
Others,0,0,0,0,0,0,0,0,0,0,73,132,173,222,390
Utility vehicles,6596,5847,3605,2771,2162,1662,1303,1026,794,624,492,368,289,243,199
Gasoline,3229,2485,1134,820,599,456,357,260,218,158,138,109,97,87,78
Diesel,3334,3329,2463,1947,1562,1205,945,765,576,466,354,259,192,156,121
Gasoline + Gas,33,33,8,4,1,1,1,1,0,0,0,0,0,0,0
Others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buses,914,984,1269,1340,1379,1455,1545,1623,1636,1703,1728,1759,1778,1857,1904
Gasoline,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diesel,898,964,1232,1295,1331,1412,1499,1572,1586,1635,1660,1684,1700,1761,1793
Electr.,0,0,3,3,3,0,0,0,0,2,2,4,2,2,2
Hybrid - Gasoline/Electr.,12,17,24,32,36,35,38,41,35,39,0,0,0,0,0
Unknown,3,3,2,2,2,1,1,0,0,0,0,0,0,0,0
Hybrid - Diesel/Electr.,0,0,8,8,7,7,7,10,15,27,0,0,0,46,57
Others,0,0,0,0,0,0,0,0,0,0,66,73,76,48,52
Vans,11899,14446,18810,19730,20591,21765,23208,23837,24800,26089,27046,27635,28521,29668,31138
Gasoline,3266,2873,1822,1634,1479,1379,1354,1271,1267,1243,1205,1138,1119,1099,1111
Diesel,8584,11536,16953,18062,19078,20345,21797,22487,23440,24742,25690,26299,27170,28341,29784
Electr.,3,3,4,4,2,2,2,7,5,6,30,70,85,84,102
Gasoline + Gas,44,29,23,21,21,16,20,22,28,39,56,59,71,73,77
CNG,2,5,8,9,8,20,28,50,60,59,0,0,0,0,0
Hybrid - Gasoline/Electr.,0,0,0,0,3,3,7,0,0,0,0,0,0,0,0
Others,0,0,0,0,0,0,0,0,0,0,65,69,76,71,64
Trucks,4377,4780,5171,5151,5178,5278,5363,5354,5358,5368,5339,5298,5311,5404,5594
Gasoline,24,24,18,19,21,19,20,21,24,21,19,23,27,30,33
Diesel,4353,4756,5120,5096,5102,5190,5263,5242,5240,5255,5227,5181,5185,5271,5429
Gasoline + Gas,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2
Diesel/gazoil/gasoline,0,0,33,36,55,69,80,90,93,90,0,0,0,100,128
Others,0,0,0,0,0,0,0,0,0,0,91,92,97,1,2
Road Tractors,2102,3327,4448,4724,4979,5489,5848,5550,5469,5356,4934,4726,4602,4502,4516
Gasoline,3,2,0,0,0,0,6,13,0,0,0,1,1,1,1
Diesel,2099,3324,4407,4677,4935,5443,5793,5477,5410,5296,4866,4652,4529,4427,4440
Gasoline + CNG,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
CNG,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Diesel/gazoil/gasoline,0,0,41,47,44,46,48,59,59,60,0,0,0,0,0
Others,0,0,0,0,0,0,0,0,0,0,68,73,72,74,75
Special Vehicles,1737,1931,2268,2352,2403,2468,2505,2456,2560,2671,2764,2827,2936,3044,3132
Gasoline,494,450,349,325,297,286,251,229,216,204,189,178,175,180,171
Diesel,1231,1463,1908,2015,2088,2163,2229,2202,2317,2434,2542,2613,2726,2824,2920
Electr.,0,0,0,0,0,0,1,1,0,0,0,1,1,2,3
Gasoline + Gas,10,17,7,4,6,5,7,5,5,6,5,5,5,9,9
Gasoline + CNG,2,1,0,0,0,0,0,0,0,3,3,3,1,1,1
Diesel/gazoil/gasoline,0,0,4,8,12,14,17,19,22,24,0,0,0,28,28
Others,0,0,0,0,0,0,0,0,0,0,25,27,28,0,0
